entity,timestamp,score,ml_score,rule_score,flags,mitre,source_ip,username,hostname
laxmi.poudel@WS-PKR-009,2025-09-01 12:30:39.351,0.0632,0.0632,0.0,,,192.168.2.19,laxmi.poudel,WS-PKR-009
sita.basnet@WS-BTW-014,2026-06-03 09:35:04.515,0.06,0.06,0.0,,,192.168.10.24,sita.basnet,WS-BTW-014
roshan.karki@WS-KTM-001,2025-11-17 11:20:12.197,0.0095,0.0095,0.0,,,192.168.1.11,roshan.karki,WS-KTM-001
deepak.rai@WS-BTW-013,2025-12-26 11:37:53.522,0.4452,0.4452,0.2,large_data_transfer,,192.168.10.23,deepak.rai,WS-BTW-013
rajan.regmi@WS-BTW-015,2026-01-14 10:16:50.717,0.0507,0.0507,0.0,,,192.168.10.25,rajan.regmi,WS-BTW-015
pumori_batch@SRV-SQL-01,2026-03-05 16:31:34.546,0.0862,0.0862,0.0,,,10.10.2.10,pumori_batch,SRV-SQL-01
deepak.rai@WS-BTW-013,2026-04-02 11:56:34.639,0.2007,0.2007,0.0,,,192.168.10.23,deepak.rai,WS-BTW-013
rita.regmi@WS-KTM-007,2026-03-03 17:40:01.509,0.4041,0.4041,0.25,privilege_abuse,Privilege Escalation:T1078,192.168.1.17,rita.regmi,WS-KTM-007
bindu.joshi@WS-PKR-012,2025-07-14 14:56:35.447,0.0396,0.0396,0.0,,,192.168.2.22,bindu.joshi,WS-PKR-012
laxmi.poudel@WS-PKR-009,2026-05-04 09:23:32.750,0.0944,0.0944,0.0,,,192.168.2.19,laxmi.poudel,WS-PKR-009
rekha.rai@WS-KTM-099,2026-04-23 09:51:46.480,0.95,0.1671,0.95,honeypot_contact,,192.168.1.99,rekha.rai,WS-KTM-099
roshan.karki@WS-KTM-001,2025-12-10 14:17:33.065,0.0809,0.0809,0.0,,,192.168.1.11,roshan.karki,WS-KTM-001
rajan.regmi@WS-BTW-015,2025-08-20 16:26:18.875,0.1097,0.1097,0.0,,,192.168.10.25,rajan.regmi,WS-BTW-015
roshan.karki@WS-KTM-001,2025-01-24 21:32:48.156,0.6039,0.6039,0.15,off_hours,Persistence:T1078,192.168.1.11,roshan.karki,WS-KTM-001
rekha.rai@WS-KTM-099,2025-10-21 11:38:51.360,0.95,0.0981,0.95,honeypot_contact,,192.168.1.99,rekha.rai,WS-KTM-099
nabin.joshi@WS-KTM-006,2025-04-07 17:48:10.556,0.1227,0.1227,0.0,,,192.168.1.16,nabin.joshi,WS-KTM-006
bindu.joshi@WS-PKR-012,2025-07-01 21:38:10.555,0.5653,0.5653,0.15,off_hours,Persistence:T1078,192.168.2.22,bindu.joshi,WS-PKR-012
rita.regmi@WS-KTM-007,2026-04-17 09:33:42.213,0.1064,0.1064,0.0,,,192.168.1.17,rita.regmi,WS-KTM-007
roshan.karki@WS-KTM-001,2026-01-05 13:08:24.881,0.0456,0.0456,0.0,,,192.168.1.11,roshan.karki,WS-KTM-001
rekha.rai@WS-KTM-099,2025-12-22 14:09:53.846,0.95,0.1,0.95,honeypot_contact,,192.168.1.99,rekha.rai,WS-KTM-099
deepak.rai@WS-BTW-013,2026-03-19 10:43:37.676,0.0277,0.0277,0.0,,,192.168.10.23,deepak.rai,WS-BTW-013
roshan.karki@WS-KTM-001,2025-02-19 09:26:28.389,0.1106,0.1106,0.0,,,192.168.1.11,roshan.karki,WS-KTM-001
suresh.poudel@WS-KTM-004,2026-04-13 17:10:53.605,0.1619,0.1619,0.0,,,192.168.1.14,suresh.poudel,WS-KTM-004
deepak.rai@WS-BTW-013,2026-01-12 08:25:03.583,0.0848,0.0848,0.0,,,192.168.10.23,deepak.rai,WS-BTW-013
suresh.poudel@WS-KTM-004,2026-06-25 08:14:13.922,0.2914,0.2914,0.0,,,192.168.1.14,suresh.poudel,WS-KTM-004
sunil.karki@WS-KTM-005,2025-03-28 13:27:13.154,1.0,0.9867,1.0,unauthorized_pumori|elevated_peer_deviation|new_resource,Collection:T1005|Valid Accounts:T1078,192.168.1.15,sunil.karki,WS-KTM-005
gita.basnet@WS-PKR-010,2026-03-09 16:07:46.061,0.1654,0.1654,0.0,,,192.168.2.20,gita.basnet,WS-PKR-010
rajan.regmi@WS-BTW-015,2025-01-16 10:26:55.670,0.1032,0.1032,0.0,,,192.168.10.25,rajan.regmi,WS-BTW-015
laxmi.poudel@WS-PKR-009,2026-05-25 09:15:38.125,0.182,0.182,0.0,,,192.168.2.19,laxmi.poudel,WS-PKR-009
ram.rai@WS-KTM-003,2025-06-10 11:11:35.076,0.6692,0.6692,0.4,large_data_transfer|ml_anomaly,Exfiltration:T1041|Anomaly:T0000,192.168.1.13,ram.rai,WS-KTM-003
ram.thapa@WS-KTM-008,2025-02-18 12:58:26.545,0.1101,0.1101,0.0,,,192.168.1.18,ram.thapa,WS-KTM-008
gita.basnet@WS-PKR-010,2026-05-18 09:33:22.717,0.1159,0.1159,0.0,,,192.168.2.20,gita.basnet,WS-PKR-010
anita.magar@WS-KTM-002,2025-03-26 13:31:07.394,0.0167,0.0167,0.0,,,192.168.1.12,anita.magar,WS-KTM-002
rekha.khadka@WS-PKR-011,2026-03-03 14:09:19.385,0.1487,0.1487,0.0,,,192.168.2.21,rekha.khadka,WS-PKR-011
bikash.poudel@WS-KTM-005,2025-02-25 13:00:27.089,0.0025,0.0025,0.0,,,192.168.1.15,bikash.poudel,WS-KTM-005
sita.basnet@WS-BTW-014,2025-04-01 09:16:14.379,0.0915,0.0915,0.0,,,192.168.10.24,sita.basnet,WS-BTW-014
deepak.rai@WS-BTW-013,2025-11-21 15:55:34.036,0.1243,0.1243,0.0,,,192.168.10.23,deepak.rai,WS-BTW-013
deepak.rai@WS-BTW-013,2026-01-19 09:37:37.265,0.7142,0.7142,0.4,new_resource|ml_anomaly,Anomaly:T0000,192.168.10.23,deepak.rai,WS-BTW-013
rekha.rai@WS-KTM-099,2025-12-08 14:22:51.301,0.95,0.0039,0.95,honeypot_contact,,192.168.1.99,rekha.rai,WS-KTM-099
rekha.khadka@WS-PKR-011,2026-05-14 12:16:35.879,0.232,0.232,0.0,,,192.168.2.21,rekha.khadka,WS-PKR-011
bikash.poudel@WS-KTM-005,2026-06-17 16:18:13.095,0.0557,0.0557,0.0,,,192.168.1.15,bikash.poudel,WS-KTM-005
deepak.bhattarai@WS-KTM-003,2025-04-23 08:31:59.701,0.8994,0.8994,0.35,off_hours|elevated_peer_deviation|ml_anomaly,Persistence:T1078|Valid Accounts:T1078|Anomaly:T0000,192.168.1.13,deepak.bhattarai,WS-KTM-003
anita.magar@WS-KTM-002,2025-03-31 13:29:56.047,0.0239,0.0239,0.0,,,192.168.1.12,anita.magar,WS-KTM-002
bindu.joshi@WS-PKR-012,2025-06-23 10:46:34.500,0.1041,0.1041,0.0,,,192.168.2.22,bindu.joshi,WS-PKR-012
roshan.karki@WS-KTM-001,2025-04-04 11:43:53.881,0.1016,0.1016,0.0,,,192.168.1.11,roshan.karki,WS-KTM-001
rekha.rai@WS-KTM-099,2026-06-22 12:49:20.146,0.95,0.1248,0.95,honeypot_contact,,192.168.1.99,rekha.rai,WS-KTM-099
bikash.poudel@WS-KTM-005,2026-06-18 11:26:19.281,0.0536,0.0536,0.0,,,192.168.1.15,bikash.poudel,WS-KTM-005
gita.basnet@WS-PKR-010,2025-05-30 08:38:20.316,0.2569,0.2569,0.0,,,192.168.2.20,gita.basnet,WS-PKR-010
bikash.poudel@WS-KTM-005,2025-08-21 12:08:13.133,0.077,0.077,0.0,,,192.168.1.15,bikash.poudel,WS-KTM-005
roshan.karki@WS-KTM-001,2025-02-13 17:50:44.486,0.1621,0.1621,0.0,,,192.168.1.11,roshan.karki,WS-KTM-001
ram.rai@WS-KTM-003,2025-10-02 10:40:38.013,0.1409,0.1409,0.0,,,192.168.1.13,ram.rai,WS-KTM-003
rajan.regmi@WS-BTW-015,2025-02-14 09:47:03.947,0.1501,0.1501,0.0,,,192.168.10.25,rajan.regmi,WS-BTW-015
rekha.rai@WS-KTM-099,2025-04-14 08:03:17.769,0.95,0.1392,0.95,honeypot_contact,,192.168.1.99,rekha.rai,WS-KTM-099
rajan.regmi@WS-BTW-015,2025-12-15 09:20:54.192,0.0688,0.0688,0.0,,,192.168.10.25,rajan.regmi,WS-BTW-015
suresh.poudel@WS-KTM-004,2025-01-27 09:22:35.095,0.0395,0.0395,0.0,,,192.168.1.14,suresh.poudel,WS-KTM-004
rajan.regmi@WS-BTW-015,2026-01-06 09:27:54.108,0.0771,0.0771,0.0,,,192.168.10.25,rajan.regmi,WS-BTW-015
anita.magar@WS-KTM-002,2025-04-03 11:52:08.908,0.0476,0.0476,0.0,,,192.168.1.12,anita.magar,WS-KTM-002
roshan.karki@WS-KTM-001,2026-04-10 13:15:51.763,0.202,0.202,0.0,,,192.168.1.11,roshan.karki,WS-KTM-001
suresh.poudel@WS-KTM-004,2025-01-22 10:09:22.512,0.1193,0.1193,0.0,,,192.168.1.14,suresh.poudel,WS-KTM-004
anita.magar@WS-KTM-002,2025-06-04 10:12:21.419,0.1411,0.1411,0.0,,,192.168.1.12,anita.magar,WS-KTM-002
sita.basnet@WS-BTW-014,2025-04-03 14:51:23.628,0.0469,0.0469,0.0,,,192.168.10.24,sita.basnet,WS-BTW-014
sita.basnet@WS-BTW-014,2026-05-19 09:30:22.418,0.1176,0.1176,0.0,,,192.168.10.24,sita.basnet,WS-BTW-014
rekha.khadka@WS-PKR-011,2025-09-04 17:34:13.384,0.2406,0.2406,0.0,,,192.168.2.21,rekha.khadka,WS-PKR-011
rajan.regmi@WS-BTW-015,2026-01-26 13:47:25.876,0.4977,0.4977,0.1,new_resource,,192.168.10.25,rajan.regmi,WS-BTW-015
nabin.joshi@WS-KTM-006,2026-03-02 16:57:44.720,0.03,0.03,0.0,,,192.168.1.16,nabin.joshi,WS-KTM-006
bikash.poudel@WS-KTM-005,2025-09-15 10:45:20.848,0.1069,0.1069,0.0,,,192.168.1.15,bikash.poudel,WS-KTM-005
ram.thapa@WS-KTM-008,2026-05-04 15:28:50.017,0.1219,0.1219,0.0,,,192.168.1.18,ram.thapa,WS-KTM-008
sita.basnet@WS-BTW-014,2026-06-12 14:17:01.712,0.0821,0.0821,0.0,,,192.168.10.24,sita.basnet,WS-BTW-014
ram.thapa@WS-KTM-008,2026-01-26 16:20:11.452,0.0756,0.0756,0.0,,,192.168.1.18,ram.thapa,WS-KTM-008
rekha.rai@WS-KTM-099,2025-05-19 16:29:17.197,0.95,0.0955,0.95,honeypot_contact,,192.168.1.99,rekha.rai,WS-KTM-099
bindu.joshi@WS-PKR-012,2025-08-18 17:52:11.387,0.0706,0.0706,0.0,,,192.168.2.22,bindu.joshi,WS-PKR-012
rita.regmi@WS-KTM-007,2025-08-19 13:22:57.273,0.0261,0.0261,0.0,,,192.168.1.17,rita.regmi,WS-KTM-007
rita.regmi@WS-KTM-007,2025-01-28 11:30:41.148,0.032,0.032,0.0,,,192.168.1.17,rita.regmi,WS-KTM-007
ram.thapa@WS-KTM-008,2026-02-02 13:59:53.865,0.1608,0.1608,0.0,,,192.168.1.18,ram.thapa,WS-KTM-008
roshan.karki@WS-KTM-001,2026-04-29 16:48:09.886,0.0453,0.0453,0.0,,,192.168.1.11,roshan.karki,WS-KTM-001
roshan.karki@WS-KTM-001,2026-04-22 09:47:54.212,0.1609,0.1609,0.0,,,192.168.1.11,roshan.karki,WS-KTM-001
ram.rai@WS-KTM-003,2025-10-30 13:47:26.179,0.199,0.199,0.0,,,192.168.1.13,ram.rai,WS-KTM-003
rekha.khadka@WS-PKR-011,2026-02-02 17:25:37.116,0.1045,0.1045,0.0,,,192.168.2.21,rekha.khadka,WS-PKR-011
deepak.rai@WS-BTW-013,2026-05-08 09:21:08.732,0.1963,0.1963,0.0,,,192.168.10.23,deepak.rai,WS-BTW-013
ram.shrestha@WS-KTM-001,2026-05-17 03:40:00.000,1.0,1.0,1.0,unauthorized_pumori|off_hours|elevated_peer_deviation,Collection:T1005|Persistence:T1078|Valid Accounts:T1078,192.168.1.11,ram.shrestha,WS-KTM-001
rekha.khadka@WS-PKR-011,2025-08-18 16:40:50.487,0.3117,0.3117,0.25,privilege_abuse,Privilege Escalation:T1078,192.168.2.21,rekha.khadka,WS-PKR-011
nabin.joshi@WS-KTM-006,2026-04-16 16:21:34.362,0.1508,0.1508,0.0,,,192.168.1.16,nabin.joshi,WS-KTM-006
ram.thapa@WS-KTM-008,2025-11-26 12:24:29.546,0.0634,0.0634,0.0,,,192.168.1.18,ram.thapa,WS-KTM-008
ram.rai@WS-KTM-003,2025-10-14 21:23:22.091,0.5968,0.5968,0.15,off_hours,Persistence:T1078,192.168.1.13,ram.rai,WS-KTM-003
rita.regmi@WS-KTM-007,2026-02-07 06:51:59.591,0.5361,0.5361,0.15,off_hours,Persistence:T1078,192.168.1.17,rita.regmi,WS-KTM-007
sita.basnet@WS-BTW-014,2025-10-08 09:43:33.477,0.0442,0.0442,0.0,,,192.168.10.24,sita.basnet,WS-BTW-014
anita.magar@WS-KTM-002,2025-03-28 09:32:19.372,0.1513,0.1513,0.0,,,192.168.1.12,anita.magar,WS-KTM-002
rajan.regmi@WS-BTW-015,2025-06-27 10:13:51.197,0.1123,0.1123,0.0,,,192.168.10.25,rajan.regmi,WS-BTW-015
rekha.rai@WS-KTM-099,2026-01-26 14:42:50.840,0.95,0.0264,0.95,honeypot_contact,,192.168.1.99,rekha.rai,WS-KTM-099
suresh.poudel@WS-KTM-004,2025-04-21 17:49:06.804,0.1495,0.1495,0.0,,,192.168.1.14,suresh.poudel,WS-KTM-004
rita.regmi@WS-KTM-007,2025-08-11 15:13:55.928,0.0155,0.0155,0.0,,,192.168.1.17,rita.regmi,WS-KTM-007
deepak.rai@WS-BTW-013,2026-01-23 11:16:05.432,0.184,0.184,0.0,,,192.168.10.23,deepak.rai,WS-BTW-013
ram.thapa@WS-KTM-008,2025-07-21 16:21:43.706,0.1489,0.1489,0.0,,,192.168.1.18,ram.thapa,WS-KTM-008
anita.magar@WS-KTM-002,2025-04-11 14:14:53.077,0.0806,0.0806,0.0,,,192.168.1.12,anita.magar,WS-KTM-002
rekha.rai@WS-KTM-099,2025-10-27 08:14:18.723,0.95,0.0689,0.95,honeypot_contact,,192.168.1.99,rekha.rai,WS-KTM-099
suresh.poudel@WS-KTM-004,2026-01-27 12:55:40.649,0.048,0.048,0.0,,,192.168.1.14,suresh.poudel,WS-KTM-004
rajan.regmi@WS-BTW-015,2026-01-19 08:39:40.682,0.2929,0.2929,0.2,,,192.168.10.25,rajan.regmi,WS-BTW-015
rita.regmi@WS-KTM-007,2025-10-16 10:57:48.550,0.0662,0.0662,0.0,,,192.168.1.17,rita.regmi,WS-KTM-007
laxmi.poudel@WS-PKR-009,2025-12-10 12:17:51.100,0.0759,0.0759,0.0,,,192.168.2.19,laxmi.poudel,WS-PKR-009
gita.basnet@WS-PKR-010,2025-10-10 14:33:45.902,0.4034,0.4034,0.3,,,192.168.2.20,gita.basnet,WS-PKR-010
ram.rai@WS-KTM-003,2025-04-08 08:13:30.079,0.07,0.07,0.0,,,192.168.1.13,ram.rai,WS-KTM-003
ram.shrestha@WS-KTM-001,2026-05-17 03:22:20.000,1.0,1.0,1.0,unauthorized_pumori|off_hours|high_peer_deviation,Collection:T1005|Persistence:T1078|Valid Accounts:T1078,192.168.1.11,ram.shrestha,WS-KTM-001
gita.basnet@WS-PKR-010,2025-08-25 11:21:27.490,0.1387,0.1387,0.0,,,192.168.2.20,gita.basnet,WS-PKR-010
rita.regmi@WS-KTM-007,2025-11-24 15:28:21.631,0.0696,0.0696,0.0,,,192.168.1.17,rita.regmi,WS-KTM-007
suresh.poudel@WS-KTM-004,2025-09-01 15:24:00.931,0.0746,0.0746,0.0,,,192.168.1.14,suresh.poudel,WS-KTM-004
rekha.rai@WS-KTM-099,2025-08-11 15:18:45.989,0.95,0.0132,0.95,honeypot_contact,,192.168.1.99,rekha.rai,WS-KTM-099
bindu.joshi@WS-PKR-012,2026-04-29 10:39:13.289,0.1097,0.1097,0.0,,,192.168.2.22,bindu.joshi,WS-PKR-012
gita.basnet@WS-PKR-010,2025-01-27 16:52:49.383,0.0757,0.0757,0.0,,,192.168.2.20,gita.basnet,WS-PKR-010
anita.magar@WS-KTM-002,2026-03-30 16:13:27.104,0.0969,0.0969,0.0,,,192.168.1.12,anita.magar,WS-KTM-002
ram.thapa@WS-KTM-008,2025-08-25 13:26:22.528,0.002,0.002,0.0,,,192.168.1.18,ram.thapa,WS-KTM-008
deepak.rai@WS-BTW-013,2025-04-15 08:32:42.989,0.1833,0.1833,0.0,,,192.168.10.23,deepak.rai,WS-BTW-013
bikash.poudel@WS-KTM-005,2025-03-03 17:35:35.337,0.0768,0.0768,0.0,,,192.168.1.15,bikash.poudel,WS-KTM-005
sita.basnet@WS-BTW-014,2025-06-09 15:01:48.390,0.0066,0.0066,0.0,,,192.168.10.24,sita.basnet,WS-BTW-014
rekha.rai@WS-KTM-099,2026-06-15 14:58:35.120,0.95,0.0001,0.95,honeypot_contact,,192.168.1.99,rekha.rai,WS-KTM-099
sita.basnet@WS-BTW-014,2026-01-19 13:54:25.286,0.2666,0.2666,0.0,,,192.168.10.24,sita.basnet,WS-BTW-014
ram.rai@WS-KTM-003,2025-09-12 10:31:05.702,0.162,0.162,0.0,,,192.168.1.13,ram.rai,WS-KTM-003
suresh.poudel@WS-KTM-004,2025-05-20 13:42:47.475,0.0897,0.0897,0.0,,,192.168.1.14,suresh.poudel,WS-KTM-004
rajan.regmi@WS-BTW-015,2026-01-29 13:14:11.434,0.136,0.136,0.0,,,192.168.10.25,rajan.regmi,WS-BTW-015
deepak.bhattarai@WS-KTM-003,2025-05-27 11:27:37.940,0.8839,0.8839,0.45,high_peer_deviation|new_resource|ml_anomaly,Valid Accounts:T1078|Anomaly:T0000,192.168.1.13,deepak.bhattarai,WS-KTM-003
rekha.rai@WS-KTM-099,2025-03-04 09:17:24.140,0.95,0.0468,0.95,honeypot_contact,,192.168.1.99,rekha.rai,WS-KTM-099
rajan.regmi@WS-BTW-015,2025-03-31 09:25:57.183,0.0361,0.0361,0.0,,,192.168.10.25,rajan.regmi,WS-BTW-015
rita.regmi@WS-KTM-007,2026-03-05 10:26:50.149,0.2453,0.2453,0.0,,,192.168.1.17,rita.regmi,WS-KTM-007
anita.magar@WS-KTM-002,2026-01-06 20:30:13.055,0.5293,0.5293,0.15,off_hours,Persistence:T1078,192.168.1.12,anita.magar,WS-KTM-002
sita.basnet@WS-BTW-014,2026-05-27 10:40:19.247,0.0365,0.0365,0.0,,,192.168.10.24,sita.basnet,WS-BTW-014
deepak.rai@WS-BTW-013,2025-02-24 13:00:06.645,0.0496,0.0496,0.0,,,192.168.10.23,deepak.rai,WS-BTW-013
nabin.joshi@WS-KTM-006,2026-01-02 07:04:13.672,0.4573,0.4573,0.15,off_hours,Persistence:T1078,192.168.1.16,nabin.joshi,WS-KTM-006
laxmi.poudel@WS-PKR-009,2025-03-05 12:56:24.911,0.1451,0.1451,0.0,,,192.168.2.19,laxmi.poudel,WS-PKR-009
deepak.rai@WS-BTW-013,2026-06-18 12:45:38.058,0.2015,0.2015,0.2,,,192.168.10.23,deepak.rai,WS-BTW-013
ram.rai@WS-KTM-003,2025-03-10 12:25:45.736,0.0,0.0,0.0,,,192.168.1.13,ram.rai,WS-KTM-003
admin.operations@SRV-DC-01,2026-03-08 14:09:24.000,0.7678,0.7678,0.2,failed_access_elevated|ml_anomaly,Credential Access:T1110|Anomaly:T0000,10.10.1.10,admin.operations,SRV-DC-01
sunil.karki@WS-KTM-005,2025-02-06 17:17:15.067,1.0,0.9182,1.0,unauthorized_pumori|elevated_peer_deviation|new_resource,Collection:T1005|Valid Accounts:T1078,192.168.1.15,sunil.karki,WS-KTM-005
sita.basnet@WS-BTW-014,2025-09-12 12:25:21.993,0.0841,0.0841,0.0,,,192.168.10.24,sita.basnet,WS-BTW-014
rekha.khadka@WS-PKR-011,2026-04-20 14:59:47.057,0.1169,0.1169,0.0,,,192.168.2.21,rekha.khadka,WS-PKR-011
rekha.rai@WS-KTM-099,2025-12-05 13:08:42.671,0.95,0.1274,0.95,honeypot_contact,,192.168.1.99,rekha.rai,WS-KTM-099
rekha.khadka@WS-PKR-011,2025-06-26 12:01:47.834,0.0398,0.0398,0.0,,,192.168.2.21,rekha.khadka,WS-PKR-011
ram.thapa@WS-KTM-008,2025-06-16 15:04:51.866,0.0438,0.0438,0.0,,,192.168.1.18,ram.thapa,WS-KTM-008
rita.regmi@WS-KTM-007,2025-10-06 15:05:23.407,0.0364,0.0364,0.0,,,192.168.1.17,rita.regmi,WS-KTM-007
bikash.poudel@WS-KTM-005,2025-06-18 13:54:33.452,0.0916,0.0916,0.0,,,192.168.1.15,bikash.poudel,WS-KTM-005
suresh.poudel@WS-KTM-004,2025-08-21 09:35:14.498,0.0448,0.0448,0.0,,,192.168.1.14,suresh.poudel,WS-KTM-004
laxmi.poudel@WS-PKR-009,2026-03-02 15:30:15.467,0.0327,0.0327,0.0,,,192.168.2.19,laxmi.poudel,WS-PKR-009
rita.regmi@WS-KTM-007,2026-05-18 13:30:22.573,0.2422,0.2422,0.2,,,192.168.1.17,rita.regmi,WS-KTM-007
sita.basnet@WS-BTW-014,2026-03-10 13:22:12.328,0.4436,0.4436,0.1,new_resource,,192.168.10.24,sita.basnet,WS-BTW-014
suresh.poudel@WS-KTM-004,2025-06-17 12:06:37.026,0.5393,0.5393,0.3,,,192.168.1.14,suresh.poudel,WS-KTM-004
bindu.joshi@WS-PKR-012,2025-11-17 13:49:36.610,0.0884,0.0884,0.0,,,192.168.2.22,bindu.joshi,WS-PKR-012
sita.basnet@WS-BTW-014,2025-06-30 16:29:45.581,0.1795,0.1795,0.0,,,192.168.10.24,sita.basnet,WS-BTW-014
gita.basnet@WS-PKR-010,2025-01-28 12:31:05.129,0.0239,0.0239,0.0,,,192.168.2.20,gita.basnet,WS-PKR-010
sunil.karki@WS-KTM-005,2025-09-02 10:20:43.071,1.0,0.8487,1.0,unauthorized_pumori|elevated_peer_deviation|new_resource,Collection:T1005|Valid Accounts:T1078,192.168.1.15,sunil.karki,WS-KTM-005
bindu.joshi@WS-PKR-012,2025-05-12 16:42:38.604,0.565,0.565,0.1,new_resource,,192.168.2.22,bindu.joshi,WS-PKR-012
admin_db_sync@SRV-SQL-02,2025-06-16 16:33:46.623,0.0746,0.0746,0.0,,,10.10.2.11,admin_db_sync,SRV-SQL-02
deepak.bhattarai@WS-KTM-003,2025-10-08 16:57:58.460,0.9669,0.9669,0.5,off_hours|high_peer_deviation,Persistence:T1078|Valid Accounts:T1078,192.168.1.13,deepak.bhattarai,WS-KTM-003
