event_id,timestamp,username,hostname,event_type,resource_accessed,bytes_transferred,duration_sec,source_ip,is_off_hours,is_new_resource,failed_attempts_prior_1h,peer_group_deviation_score,is_anomaly,anomaly_type,mitre_technique
UE-0000000225,2025-09-01 12:30:39.351,laxmi.poudel,WS-PKR-009,DB_QUERY,email_server,65442,65.85,192.168.2.19,False,False,0,0.0556,False,,
UE-0000000218,2026-06-03 09:35:04.515,sita.basnet,WS-BTW-014,DB_QUERY,transaction_logs,102636,56.95,192.168.10.24,False,False,0,0.0869,False,,
UE-00000002A8,2025-11-17 11:20:12.197,roshan.karki,WS-KTM-001,DB_QUERY,shared_drive_finance,341165,15.18,192.168.1.11,False,False,0,0.1081,False,,
UE-00000003CF,2025-12-26 11:37:53.522,deepak.rai,WS-BTW-013,DB_QUERY,account_statements,57731632,52.17,192.168.10.23,False,False,0,0.0512,False,,
UE-00000002CB,2026-01-14 10:16:50.717,rajan.regmi,WS-BTW-015,FILE_ACCESS,account_statements,1730259,3.15,192.168.10.25,False,False,0,0.1515,False,,
UE-00000004C2,2026-03-05 16:31:34.546,pumori_batch,SRV-SQL-01,DB_QUERY,pumori_transaction_db,1153905,4.07,10.10.2.10,False,False,0,0.1041,False,,
UE-00000003AB,2026-04-02 11:56:34.639,deepak.rai,WS-BTW-013,PRINT,intranet_portal,477762,67.17,192.168.10.23,False,False,0,0.1262,False,,
UE-00000000B0,2026-03-03 17:40:01.509,rita.regmi,WS-KTM-007,PRIVILEGE_USE,shared_drive_finance,591826,46.4,192.168.1.17,False,False,0,0.3762,False,,
UE-000000023B,2025-07-14 14:56:35.447,bindu.joshi,WS-PKR-012,DB_QUERY,account_statements,1653075,51.57,192.168.2.22,False,False,0,0.1746,False,,
UE-0000000324,2026-05-04 09:23:32.750,laxmi.poudel,WS-PKR-009,EMAIL_SEND,kyc_documents,177853,46.12,192.168.2.19,False,False,0,0.0317,False,,
UE-00000000F1,2026-04-23 09:51:46.480,rekha.rai,WS-KTM-099,PRINT,branch_reports,497153,6.78,192.168.1.99,False,False,0,0.1476,False,,
UE-000000014C,2025-12-10 14:17:33.065,roshan.karki,WS-KTM-001,DB_QUERY,shared_drive_operations,187232,2.97,192.168.1.11,False,False,0,0.3415,False,,
UE-0000000339,2025-08-20 16:26:18.875,rajan.regmi,WS-BTW-015,DB_QUERY,transaction_logs,4617,3.4,192.168.10.25,False,False,0,0.0156,False,,
UE-000000051A,2025-01-24 21:32:48.156,roshan.karki,WS-KTM-001,FILE_ACCESS,branch_reports,4650,58.42,192.168.1.11,True,False,0,0.3631,False,,
UE-000000004D,2025-10-21 11:38:51.360,rekha.rai,WS-KTM-099,FILE_ACCESS,loan_applications,26988,73.55,192.168.1.99,False,False,0,0.2806,False,,
UE-0000000327,2025-04-07 17:48:10.556,nabin.joshi,WS-KTM-006,DB_QUERY,branch_reports,985659,39.95,192.168.1.16,False,False,0,0.2941,False,,
UE-0000000501,2025-07-01 21:38:10.555,bindu.joshi,WS-PKR-012,DB_QUERY,hr_payroll,1453662,5.97,192.168.2.22,True,False,0,0.1494,False,,
