event_id,event_log_id,timestamp,hostname,domain,event_name,event_description,subject_username,subject_domain,target_username,target_domain,logon_type,logon_type_name,process_name,process_id,parent_process,source_ip,workstation_name,failure_reason,is_anomaly,anomaly_type,mitre_technique
4624,EVT-0RBFVTM6X4,2025-01-01 08:58:03.216,ATM-KTM-004,GIBLBANK,Successful logon,An account was successfully logged on. Logon Type: 10,user_033,GIBLBANK,user_033,GIBLBANK,10,RemoteInteractive,,19764,,192.168.1.14,ATM-KTM-004,,False,,
4624,EVT-F6ZFY40I6Q,2025-01-01 09:12:27.434,WS-KTM-010,GIBLBANK,Successful logon,An account was successfully logged on. Logon Type: 10,admin_01,GIBLBANK,admin_01,GIBLBANK,10,RemoteInteractive,,39727,,10.10.1.11,WS-KTM-010,,False,,
5140,EVT-TNCZ7WZHCT,2025-01-01 09:26:15.621,SRV-APP-01,GIBLBANK,Network share accessed,A network share object was accessed: \\SRV-FILE-01\Finance,admin_02,GIBLBANK,admin_02,GIBLBANK,3,Network,System,23539,,,SRV-APP-01,,False,,
5140,EVT-TW4IXFJJRK,2025-01-01 10:35:03.519,SRV-SQL-02,GIBLBANK,Network share accessed,A network share object was accessed: \\SRV-FILE-01\Finance,svc_backup,GIBLBANK,svc_backup,GIBLBANK,3,Network,System,14255,,,SRV-SQL-02,,False,,
4688,EVT-D7Z2E8N3EG,2025-01-01 10:42:13.411,WS-KTM-016,GIBLBANK,Process created,A new process has been created: outlook.exe,user_012,GIBLBANK,user_012,GIBLBANK,,,outlook.exe,53597,services.exe,,WS-KTM-016,,False,,
4624,EVT-50W2XWB1GQ,2025-01-01 11:29:41.017,SRV-DC-02,GIBLBANK,Successful logon,An account was successfully logged on. Logon Type: 10,user_010,GIBLBANK,user_010,GIBLBANK,10,RemoteInteractive,,4424,,192.168.1.35,SRV-DC-02,,False,,
4624,EVT-D5E9JLWXWU,2025-01-01 13:31:10.044,WS-KTM-017,GIBLBANK,Successful logon,An account was successfully logged on. Logon Type: 2,user_013,GIBLBANK,user_013,GIBLBANK,2,Interactive,,50114,,,WS-KTM-017,,False,,
4624,EVT-E2NFZKXY2Y,2025-01-01 13:44:17.086,SWIFT-GW-01,GIBLBANK,Successful logon,Service account logon.,svc_monitor,GIBLBANK,svc_monitor,GIBLBANK,5,Service,,705,,,SWIFT-GW-01,,False,,
4624,EVT-9QAEXDUS46,2025-01-01 16:07:00.655,WS-BTW-001,GIBLBANK,Successful logon,Service account logon.,svc_antivirus,GIBLBANK,svc_antivirus,GIBLBANK,5,Service,,63902,,,WS-BTW-001,,False,,
4688,EVT-FWPA4RLUCD,2025-01-02 01:40:06.006,SRV-DC-02,GIBLBANK,Process created,LSASS memory access — potential credential dumping.,SRV-DC-01$,GIBLBANK,SRV-DC-01$,GIBLBANK,,,lsass.exe,31501,rundll32.exe,,SRV-DC-02,,True,LSASS_DUMP,T1003.001
4624,EVT-SHDKKG1R1C,2025-01-02 07:10:03.030,ATM-PKR-002,GIBLBANK,Successful logon,An account was successfully logged on. Logon Type: 10,user_004,GIBLBANK,user_004,GIBLBANK,10,RemoteInteractive,,30181,,192.168.1.39,ATM-PKR-002,,False,,
4624,EVT-WAW20GJPQP,2025-01-02 08:06:19.064,SRV-SQL-02,GIBLBANK,Successful logon,Service account logon.,svc_monitor,GIBLBANK,svc_monitor,GIBLBANK,5,Service,,30256,,,SRV-SQL-02,,False,,
4672,EVT-EUQAQ0IW99,2025-01-02 08:07:19.677,SRV-APP-02,GIBLBANK,Special privileges assigned,Unexpected special privileges assigned to non-admin account.,user_039,GIBLBANK,user_039,GIBLBANK,3,Network,,41543,,,SRV-APP-02,,True,PRIV_ESCALATION,T1068
4740,EVT-39QZJ9YR33,2025-01-02 08:29:17.879,WS-KTM-007,GIBLBANK,Account locked out,Account user_017 was locked after repeated failures.,user_017,GIBLBANK,user_017,GIBLBANK,,,,16492,,91.195.240.117,WS-KTM-007,Account locked,False,,
4624,EVT-2NBI5E0L1Q,2025-01-02 08:47:34.377,ATM-KTM-003,GIBLBANK,Successful logon,An account was successfully logged on. Logon Type: 2,user_018,GIBLBANK,user_018,GIBLBANK,2,Interactive,,40197,,,ATM-KTM-003,,False,,
4698,EVT-GGFMNUF8Z3,2025-01-02 10:27:33.088,ATM-KTM-001,GIBLBANK,Scheduled task created,A scheduled task was created.,admin_01,GIBLBANK,admin_01,GIBLBANK,,,taskschd.msc,14019,,,ATM-KTM-001,,False,,
4624,EVT-ND6R30OJHE,2025-01-02 13:53:39.326,SRV-PROXY-01,GIBLBANK,Successful logon,An account was successfully logged on. Logon Type: 10,user_019,GIBLBANK,user_019,GIBLBANK,10,RemoteInteractive,,56249,,192.168.1.43,SRV-PROXY-01,,False,,
4625,EVT-PY7CMSCNTH,2025-01-02 14:24:43.539,WS-KTM-006,GIBLBANK,Failed logon,An account failed to log on. Reason: Wrong password,user_002,GIBLBANK,user_002,GIBLBANK,3,Network,,10133,,192.168.1.14,WS-KTM-006,Wrong password,False,,
4672,EVT-D7NUFIIGWS,2025-01-02 15:02:50.807,SRV-PROXY-01,GIBLBANK,Special privileges assigned,Special privileges assigned to new logon.,SRV-DC-02$,GIBLBANK,SRV-DC-02$,GIBLBANK,3,Network,,8062,,,SRV-PROXY-01,,False,,
4624,EVT-KRDFV37SNL,2025-01-02 16:52:23.389,ATM-KTM-003,GIBLBANK,Successful logon,Service account logon.,svc_backup,GIBLBANK,svc_backup,GIBLBANK,5,Service,,8272,,,ATM-KTM-003,,False,,
4624,EVT-REP1KTLVIH,2025-01-02 16:56:50.158,WS-KTM-019,GIBLBANK,Successful logon,An account was successfully logged on. Logon Type: 10,user_035,GIBLBANK,user_035,GIBLBANK,10,RemoteInteractive,,24888,,192.168.1.35,WS-KTM-019,,False,,
4624,EVT-96UT1C8PO6,2025-01-03 04:15:59.084,SWIFT-GW-01,GIBLBANK,Successful logon,An account was successfully logged on. Logon Type: 10,user_014,GIBLBANK,user_014,GIBLBANK,10,RemoteInteractive,,1785,,192.168.1.17,SWIFT-GW-01,,False,,
4625,EVT-Z5DMQMZ00H,2025-01-03 04:42:25.891,SRV-DC-01,GIBLBANK,Failed logon,An account failed to log on. Reason: Unknown user,user_013,GIBLBANK,user_013,GIBLBANK,3,Network,,13602,,192.168.1.28,SRV-DC-01,Unknown user,False,,
