source_ip,win_total_events,win_unique_hosts,win_unique_users,win_failed_logons,win_process_creations,win_privileged_logons,win_service_installs,win_rdp_logons,win_network_logons,win_off_hours_events,win_fail_ratio,win_priv_ratio,win_process_ratio,win_off_hours_ratio,zeek_total_conns,zeek_unique_dst_ips,zeek_unique_dst_ports,zeek_failed_conns,zeek_encrypted_conns,zeek_off_hours_conns,zeek_mean_duration,zeek_mean_orig_bytes,zeek_mean_resp_bytes,zeek_total_orig_bytes,zeek_mean_bytes_ratio,zeek_mean_orig_pkts,zeek_fail_ratio,zeek_encrypted_ratio,zeek_off_hours_ratio,zeek_dst_diversity,threat_score,is_anomaly,ind_high_fail_ratio,ind_high_upload_ratio,ind_high_port_spread
198.51.100.22,112.0,33.0,40.0,79.0,0.0,0.0,0.0,0.0,84.0,50.0,0.7053571428571429,0.0,0.0,0.44642857142857145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0,0
45.33.32.156,111.0,34.0,41.0,70.0,0.0,0.0,0.0,0.0,75.0,42.0,0.6306306306306306,0.0,0.0,0.3783783783783784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9848475352016255,1,1,0,0
91.195.240.117,108.0,38.0,44.0,59.0,0.0,0.0,0.0,0.0,64.0,36.0,0.5462962962962963,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.973650940132498,1,1,0,0
LOCAL,2876.0,52.0,50.0,0.0,1054.0,296.0,25.0,0.0,632.0,192.0,0.0,0.10292072322670376,0.3664812239221141,0.06675938803894298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9115945874063996,1,0,0,0
203.0.113.55,68.0,36.0,33.0,25.0,0.0,0.0,0.0,0.0,25.0,14.0,0.36764705882352944,0.0,0.0,0.20588235294117646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8845476030756367,1,1,0,0
10.30.1.3,36.0,22.0,23.0,8.0,0.0,0.0,0.0,11.0,25.0,4.0,0.2222222222222222,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.806306886047566,1,1,0,0
10.10.1.17,41.0,26.0,31.0,9.0,0.0,0.0,0.0,14.0,27.0,0.0,0.21951219512195122,0.0,0.0,0.0,25.0,1.0,1.0,0.0,0.0,14.0,0.10608000000000001,57.2,193.4,1430.0,0.3466732665502368,1.0,0.0,0.0,0.56,1.0,0.8029339900472839,1,1,0,0
10.10.1.4,41.0,23.0,31.0,7.0,0.0,0.0,0.0,14.0,27.0,0.0,0.17073170731707318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7904444023384147,1,1,0,0
10.10.1.1,37.0,22.0,28.0,6.0,0.0,0.0,0.0,13.0,24.0,1.0,0.16216216216216217,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.785671703037681,1,1,0,0
10.30.1.1,32.0,23.0,26.0,3.0,0.0,0.0,0.0,10.0,22.0,5.0,0.09375,0.0,0.0,0.15625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7852341271920323,1,1,0,0
10.10.1.3,30.0,20.0,20.0,7.0,0.0,0.0,0.0,8.0,22.0,2.0,0.23333333333333334,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7845363484146497,1,1,0,0
10.10.1.16,41.0,26.0,25.0,6.0,0.0,0.0,0.0,18.0,23.0,3.0,0.14634146341463414,0.0,0.0,0.07317073170731707,41.0,1.0,1.0,0.0,0.0,26.0,0.11224390243902439,54.48780487804878,173.09756097560975,2234.0,0.3897462460502706,1.0,0.0,0.0,0.6341463414634146,1.0,0.781759580745437,1,1,0,0
10.10.1.9,21.0,17.0,19.0,7.0,0.0,0.0,0.0,7.0,14.0,3.0,0.3333333333333333,0.0,0.0,0.14285714285714285,39.0,1.0,1.0,0.0,0.0,26.0,0.10515384615384615,56.794871794871796,184.0,2215.0,0.3927880435274824,1.0,0.0,0.0,0.6666666666666666,1.0,0.773991980725473,1,1,0,0
10.10.1.2,32.0,26.0,21.0,4.0,0.0,0.0,0.0,10.0,22.0,1.0,0.125,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7720692550350899,1,1,0,0
10.10.1.8,39.0,24.0,27.0,8.0,0.0,0.0,0.0,11.0,28.0,4.0,0.20512820512820512,0.0,0.0,0.10256410256410256,36.0,1.0,1.0,0.0,0.0,21.0,0.09697222222222222,59.72222222222222,162.61111111111111,2150.0,0.4174721805782856,1.0,0.0,0.0,0.5833333333333334,1.0,0.7715654592266871,1,1,0,0
192.168.1.35,35.0,26.0,25.0,9.0,0.0,0.0,0.0,14.0,21.0,0.0,0.2571428571428571,0.0,0.0,0.0,181.0,135.0,6.0,0.0,74.0,97.0,321.01770165745853,459243.8729281768,706092.3977900553,83123141.0,0.5063865891805848,116.80662983425414,0.0,0.4088397790055249,0.5359116022099447,0.044444444444444446,0.7643385243292209,1,1,0,0
10.30.1.2,31.0,23.0,24.0,6.0,0.0,0.0,0.0,9.0,22.0,2.0,0.1935483870967742,0.0,0.0,0.06451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7641542856694805,1,1,0,0
192.168.1.13,29.0,19.0,22.0,8.0,0.0,0.0,0.0,13.0,16.0,5.0,0.27586206896551724,0.0,0.0,0.1724137931034483,172.0,115.0,7.0,0.0,62.0,89.0,273.3574186046512,318301.82558139536,692465.7441860465,54747914.0,0.254821814847075,82.68604651162791,0.0,0.36046511627906974,0.5174418604651163,0.06086956521739131,0.7638311018146502,1,1,0,0
10.10.1.19,35.0,23.0,24.0,3.0,0.0,0.0,0.0,15.0,20.0,3.0,0.08571428571428572,0.0,0.0,0.08571428571428572,38.0,1.0,1.0,0.0,0.0,25.0,0.10255263157894738,54.36842105263158,178.21052631578948,2066.0,0.3476339938673968,1.0,0.0,0.0,0.6578947368421053,1.0,0.7577763090027095,1,1,0,0
10.10.1.7,33.0,24.0,25.0,5.0,0.0,0.0,0.0,13.0,20.0,1.0,0.15151515151515152,0.0,0.0,0.030303030303030304,28.0,1.0,1.0,0.0,0.0,14.0,0.11107142857142857,60.5,204.82142857142858,1694.0,0.3241781208901405,1.0,0.0,0.0,0.5,1.0,0.7569137372294186,1,1,0,0
192.168.1.43,32.0,21.0,22.0,6.0,0.0,0.0,0.0,8.0,24.0,3.0,0.1875,0.0,0.0,0.09375,234.0,154.0,7.0,0.0,96.0,121.0,174.3748247863248,195756.23504273503,372454.0982905983,45806959.0,0.8003667574873866,55.76923076923077,0.0,0.41025641025641024,0.5170940170940171,0.045454545454545456,0.754132393456064,1,1,1,0
10.10.1.18,31.0,25.0,19.0,8.0,0.0,0.0,0.0,6.0,25.0,1.0,0.25806451612903225,0.0,0.0,0.03225806451612903,35.0,1.0,1.0,0.0,0.0,22.0,0.10651428571428571,61.2,178.77142857142857,2142.0,0.4288693159316157,1.0,0.0,0.0,0.6285714285714286,1.0,0.7475523829814449,1,1,0,0
10.10.1.13,27.0,22.0,21.0,7.0,0.0,0.0,0.0,10.0,17.0,1.0,0.25925925925925924,0.0,0.0,0.037037037037037035,44.0,1.0,1.0,0.0,0.0,27.0,0.11593181818181818,56.81818181818182,180.61363636363637,2500.0,0.38783124676574093,1.0,0.0,0.0,0.6136363636363636,1.0,0.7337769663593352,1,1,0,0
192.168.1.10,31.0,23.0,24.0,9.0,0.0,0.0,0.0,10.0,21.0,5.0,0.2903225806451613,0.0,0.0,0.16129032258064516,224.0,149.0,7.0,0.0,82.0,113.0,337.7776964285714,444415.74553571426,870934.9196428572,99549127.0,0.5979562116301685,102.15178571428571,0.0,0.36607142857142855,0.5044642857142857,0.04697986577181208,0.733375386128448,1,1,0,0
10.10.1.15,26.0,20.0,20.0,7.0,0.0,0.0,0.0,8.0,18.0,2.0,0.2692307692307692,0.0,0.0,0.07692307692307693,35.0,1.0,1.0,0.0,0.0,16.0,0.10005714285714286,63.05714285714286,169.71428571428572,2207.0,0.42755363413144665,1.0,0.0,0.0,0.45714285714285713,1.0,0.731743619194446,1,1,0,0
10.10.1.12,34.0,22.0,24.0,7.0,0.0,0.0,0.0,6.0,28.0,1.0,0.20588235294117646,0.0,0.0,0.029411764705882353,32.0,1.0,1.0,0.0,0.0,17.0,0.1001875,54.71875,191.59375,1751.0,0.32929493781519836,1.0,0.0,0.0,0.53125,1.0,0.7299252699388448,1,1,0,0
192.168.1.33,25.0,21.0,19.0,7.0,0.0,0.0,0.0,8.0,17.0,3.0,0.28,0.0,0.0,0.12,200.0,129.0,6.0,0.0,72.0,109.0,345.51286999999996,479203.435,776919.01,95840687.0,0.41094161836900517,102.37,0.0,0.36,0.545,0.046511627906976744,0.72796716122562,1,1,0,0
192.168.1.16,32.0,18.0,22.0,4.0,0.0,0.0,0.0,10.0,22.0,5.0,0.125,0.0,0.0,0.15625,188.0,135.0,7.0,0.0,74.0,106.0,438.0444414893617,549163.7287234042,1008432.2446808511,103242781.0,0.38930921846727173,132.80851063829786,0.0,0.39361702127659576,0.5638297872340425,0.05185185185185185,0.7252371179313261,1,1,0,0
192.168.1.40,44.0,29.0,27.0,5.0,0.0,0.0,0.0,14.0,30.0,4.0,0.11363636363636363,0.0,0.0,0.09090909090909091,189.0,135.0,7.0,0.0,76.0,98.0,226.50521693121692,266113.3386243386,756830.7301587302,50295421.0,0.2853706776036017,82.7936507936508,0.0,0.4021164021164021,0.5185185185185185,0.05185185185185185,0.7219782474264402,1,1,0,0
10.10.1.5,28.0,23.0,22.0,4.0,0.0,0.0,0.0,6.0,22.0,2.0,0.14285714285714285,0.0,0.0,0.07142857142857142,35.0,1.0,1.0,0.0,0.0,25.0,0.09017142857142857,54.74285714285714,170.71428571428572,1916.0,0.3913807758791676,1.0,0.0,0.0,0.7142857142857143,1.0,0.7208204254058369,1,1,0,0
